Exchange Date,Close,Adjusted Close,Net,%Chg,Open,Low,High,Volume,Turnover - AUD,Flow,,,,,
27-Jan-2023,0.825,,+0.020,+2.484%,0.815,0.815,0.840,"7,985,433","6,588,898.000","367,723,321.000",,,,,
25-Jan-2023,0.805,,-0.010,-1.227%,0.820,0.800,0.833,"5,305,939","4,320,438.000","361,134,423.000",,,,,
24-Jan-2023,0.815,,-0.010,-1.212%,0.835,0.810,0.840,"4,591,996","3,779,760.000","365,454,861.000",,,,,
23-Jan-2023,0.825,,+0.020,+2.484%,0.810,0.810,0.833,"4,812,941","3,957,563.000","369,234,621.000",,,,,
20-Jan-2023,0.805,,-0.005,-0.617%,0.815,0.785,0.815,"5,244,335","4,196,576.000","365,277,058.000",,,,,
19-Jan-2023,0.810,,-0.025,-2.994%,0.830,0.810,0.830,"3,743,337","3,057,820.000","369,473,634.000",,,,,
18-Jan-2023,0.835,,+0.025,+3.086%,0.815,0.815,0.843,"4,711,363","3,909,159.000","372,531,454.000",,,,,
17-Jan-2023,0.810,,0.000,0.000%,0.810,0.810,0.828,"3,989,451","3,253,353.000","368,622,295.000",,,,,
16-Jan-2023,0.810,,-0.015,-1.818%,0.825,0.810,0.840,"4,674,656","3,832,832.000","371,875,648.000",,,,,
13-Jan-2023,0.825,,-0.040,-4.624%,0.870,0.825,0.870,"7,152,385","6,050,483.000","375,708,480.000",,,,,
12-Jan-2023,0.865,,+0.025,+2.976%,0.855,0.845,0.878,"10,006,601","8,608,925.000","381,758,963.000",,,,,
11-Jan-2023,0.840,,+0.005,+0.599%,0.855,0.840,0.890,"13,611,007","11,626,066.000","373,150,038.000",,,,,
10-Jan-2023,0.835,,+0.010,+1.212%,0.840,0.820,0.895,"13,701,963","11,775,555.000","361,523,972.000",,,,,
09-Jan-2023,0.825,,-0.005,-0.602%,0.855,0.825,0.865,"6,156,506","5,175,451.000","349,748,417.000",,,,,
06-Jan-2023,0.830,,+0.055,+7.097%,0.765,0.760,0.830,"6,808,302","5,529,612.000","354,923,868.000",,,,,
05-Jan-2023,0.775,,+0.025,+3.333%,0.755,0.750,0.785,"7,922,735","6,104,473.000","349,394,256.000",,,,,
04-Jan-2023,0.750,,-0.005,-0.662%,0.755,0.740,0.775,"7,455,885","5,621,639.000","343,289,783.000",,,,,
03-Jan-2023,0.755,,-0.045,-5.625%,0.805,0.750,0.805,"6,303,879","4,840,395.000","348,911,422.000",,,,,
30-Dec-2022,0.800,,+0.045,+5.960%,0.765,0.755,0.805,"7,456,641","5,846,622.000","353,751,817.000",,,,,
29-Dec-2022,0.755,,+0.020,+2.721%,0.720,0.715,0.760,"8,000,298","5,941,686.000","347,905,195.000",,,,,
28-Dec-2022,0.735,,-0.035,-4.545%,0.760,0.725,0.765,"8,117,609","6,012,920.000","341,963,509.000",,,,,
23-Dec-2022,0.770,,-0.040,-4.938%,0.785,0.755,0.790,"8,423,673","6,453,359.000","347,976,429.000",,,,,
22-Dec-2022,0.810,,+0.030,+3.846%,0.795,0.790,0.820,"12,083,691","9,722,688.000","354,429,788.000",,,,,
21-Dec-2022,0.780,,-0.010,-1.266%,0.800,0.780,0.820,"10,258,249","8,165,997.000","344,707,100.000",,,,,
20-Dec-2022,0.790,,-0.055,-6.509%,0.830,0.780,0.830,"10,707,622","8,574,181.000","352,873,097.000",,,,,
19-Dec-2022,0.845,,+0.005,+0.595%,0.840,0.830,0.865,"6,820,701","5,787,117.000","361,447,278.000",,,,,
16-Dec-2022,0.840,,-0.025,-2.890%,0.845,0.820,0.865,"15,857,053","13,366,962.000","355,660,161.000",,,,,
15-Dec-2022,0.865,,-0.020,-2.260%,0.880,0.840,0.890,"13,555,352","11,748,382.000","369,027,123.000",,,,,
14-Dec-2022,0.885,,-0.020,-2.210%,0.915,0.885,0.920,"8,955,252","8,038,732.000","380,775,505.000",,,,,
13-Dec-2022,0.905,,-0.030,-3.209%,0.950,0.905,0.955,"5,514,645","5,079,109.000","388,814,237.000",,,,,
12-Dec-2022,0.935,,-0.005,-0.532%,0.935,0.900,0.940,"8,248,902","7,593,138.000","393,893,346.000",,,,,
09-Dec-2022,0.940,,0.000,0.000%,0.950,0.920,0.960,"6,912,448","6,473,776.000","401,486,484.000",,,,,
08-Dec-2022,0.940,,-0.035,-3.590%,0.975,0.940,0.980,"6,033,348","5,760,971.000","407,960,260.000",,,,,
07-Dec-2022,0.975,,+0.005,+0.515%,0.965,0.950,0.975,"4,549,638","4,399,456.000","413,721,231.000",,,,,
06-Dec-2022,0.970,,-0.030,-3.000%,0.985,0.970,0.995,"6,966,959","6,806,161.000","409,321,775.000",,,,,
05-Dec-2022,1.000,,-0.030,-2.913%,1.040,1.000,1.045,"4,338,043","4,393,384.000","416,127,936.000",,,,,
02-Dec-2022,1.030,,+0.025,+2.488%,1.005,0.995,1.030,"4,534,545","4,610,915.000","420,521,320.000",,,,,
01-Dec-2022,1.005,,+0.005,+0.500%,1.030,0.985,1.040,"7,988,547","8,085,320.000","415,910,405.000",,,,,
30-Nov-2022,1.000,,+0.050,+5.263%,0.955,0.930,1.000,"13,067,454","12,778,421.000","407,825,085.000",,,,,
