Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - AUD,Flow,,,,,,
30-Jan-2023,92.550,+0.390,+0.423%,92.410,91.430,93.090,"618,639","57,167,451.000","1,932,116,101.000",,,,,,
27-Jan-2023,92.160,-2.040,-2.166%,93.050,91.000,93.600,"1,274,192","117,573,844.000","1,874,948,650.000",,,,,,
25-Jan-2023,94.200,-2.080,-2.160%,94.010,91.100,95.400,"1,514,758","141,501,909.000","1,992,522,494.000",,,,,,
24-Jan-2023,96.280,+4.830,+5.282%,93.000,92.550,96.970,"1,320,360","126,228,099.000","2,134,024,403.000",,,,,,
23-Jan-2023,91.450,+1.800,+2.008%,89.700,89.130,91.650,"906,279","82,413,519.000","2,007,796,304.000",,,,,,
20-Jan-2023,89.650,+1.590,+1.806%,88.500,87.960,89.650,"1,228,595","106,645,211.000","1,925,382,785.000",,,,,,
19-Jan-2023,88.060,+0.370,+0.422%,88.790,86.750,88.790,"742,450","65,240,290.000","1,818,737,574.000",,,,,,
18-Jan-2023,87.690,+0.290,+0.332%,87.850,86.350,88.480,"855,701","74,824,772.000","1,753,497,284.000",,,,,,
17-Jan-2023,87.400,-1.010,-1.142%,87.770,86.180,87.990,"628,337","54,714,612.000","1,678,672,512.000",,,,,,
16-Jan-2023,88.410,-0.080,-0.090%,89.300,87.340,89.970,"491,795","43,554,472.000","1,733,387,124.000",,,,,,
13-Jan-2023,88.490,-0.610,-0.685%,89.500,88.440,89.500,"711,441","63,221,880.000","1,776,941,596.000",,,,,,
12-Jan-2023,89.100,+1.170,+1.331%,88.010,87.730,89.360,"808,503","71,899,093.000","1,840,163,476.000",,,,,,
11-Jan-2023,87.930,+3.180,+3.752%,86.330,85.870,88.450,"506,404","44,310,195.000","1,768,264,383.000",,,,,,
10-Jan-2023,84.750,-1.140,-1.327%,85.900,84.380,87.280,"920,278","78,989,262.000","1,723,954,188.000",,,,,,
09-Jan-2023,85.890,+2.350,+2.813%,85.050,84.600,86.570,"933,677","80,173,773.000","1,802,943,450.000",,,,,,
06-Jan-2023,83.540,+5.420,+6.938%,78.940,78.870,83.540,"1,176,379","96,958,759.000","1,722,769,677.000",,,,,,
05-Jan-2023,78.120,+0.620,+0.800%,77.600,76.300,78.200,"884,117","68,414,312.000","1,625,810,918.000",,,,,,
04-Jan-2023,77.500,+2.390,+3.182%,74.880,74.470,77.500,"704,369","54,236,932.000","1,557,396,606.000",,,,,,
03-Jan-2023,75.110,-2.090,-2.707%,78.390,74.110,78.500,"882,735","66,397,242.000","1,503,159,674.000",,,,,,
