Date,Open,High,Low,Close,Adj Close,Volume
2022-01-25,2.250000,2.280000,2.180000,2.190000,2.042458,3198326
2022-01-27,2.270000,2.360000,2.195000,2.250000,2.098415,3077148
2022-01-28,2.320000,2.320000,2.255000,2.280000,2.126394,3246765
2022-01-31,2.280000,2.280000,2.220000,2.270000,2.117068,1461860
2022-02-01,2.320000,2.360000,2.270000,2.340000,2.182352,1617550
2022-02-02,2.370000,2.420000,2.350000,2.390000,2.228983,2239870
2022-02-03,2.420000,2.450000,2.345000,2.380000,2.219657,1581392
2022-02-04,2.370000,2.430000,2.360000,2.420000,2.256962,1069140
2022-02-07,2.400000,2.465000,2.380000,2.450000,2.284941,1641385
2022-02-08,2.460000,2.500000,2.440000,2.460000,2.294267,2871964
2022-02-09,2.470000,2.530000,2.470000,2.530000,2.359551,2127280
2022-02-10,2.530000,2.545000,2.490000,2.500000,2.331573,5208254
2022-02-11,2.480000,2.520000,2.450000,2.490000,2.322246,2273272
2022-02-14,2.510000,2.605000,2.490000,2.590000,2.415509,2817768
2022-02-15,2.560000,2.560000,2.450000,2.470000,2.303594,2391708
2022-02-16,2.470000,2.520000,2.465000,2.500000,2.331573,1037133
2022-02-17,2.530000,2.580000,2.460000,2.480000,2.312920,1640401
2022-02-18,2.470000,2.570000,2.470000,2.550000,2.378204,2487119
2022-02-21,2.550000,2.560000,2.470000,2.520000,2.350225,2305850
2022-02-22,2.520000,2.520000,2.440000,2.450000,2.284941,1516252
2022-02-23,2.470000,2.550000,2.470000,2.530000,2.359551,4176985
2022-02-24,2.490000,2.510000,2.430000,2.510000,2.340899,3137372
2022-02-25,2.570000,2.600000,2.500000,2.600000,2.424835,2428512
2022-02-28,2.600000,2.620000,2.500000,2.540000,2.368878,4218164
2022-03-01,2.600000,2.700000,2.580000,2.670000,2.490119,7715062
2022-03-02,2.770000,2.830000,2.740000,2.810000,2.620687,4707326
2022-03-03,2.980000,3.050000,2.920000,2.930000,2.732603,12683893
2022-03-04,2.900000,2.915000,2.765000,2.850000,2.657993,7234167
2022-03-07,2.940000,3.045000,2.900000,2.980000,2.779234,9921227
2022-03-08,2.970000,2.970000,2.880000,2.910000,2.713950,5765447
2022-03-09,2.950000,2.950000,2.830000,2.830000,2.639340,4504481
2022-03-10,2.760000,2.850000,2.760000,2.800000,2.611361,4837650
2022-03-11,2.850000,2.890000,2.800000,2.860000,2.667319,3799477
2022-03-14,2.870000,2.960000,2.840000,2.960000,2.760582,5684312
2022-03-15,2.850000,2.870000,2.760000,2.800000,2.611361,5850031
2022-03-16,2.820000,2.880000,2.760000,2.830000,2.639340,4292869
2022-03-17,2.870000,2.880000,2.800000,2.820000,2.630014,1779625
2022-03-18,2.890000,2.925000,2.880000,2.920000,2.723277,4266142
2022-03-21,2.970000,2.980000,2.910000,2.930000,2.732603,5280894
2022-03-22,3.150000,3.220000,3.080000,3.180000,2.965760,14409168
2022-03-23,3.190000,3.330000,3.140000,3.290000,3.068349,11017318
2022-03-24,3.380000,3.530000,3.360000,3.400000,3.170938,9225753
2022-03-25,3.420000,3.470000,3.370000,3.430000,3.198918,6661593
2022-03-28,3.510000,3.530000,3.480000,3.500000,3.264202,4286179
2022-03-29,3.430000,3.450000,3.350000,3.400000,3.170938,8680959
2022-03-30,3.400000,3.400000,3.330000,3.350000,3.124307,9439961
2022-03-31,3.400000,3.480000,3.390000,3.400000,3.170938,2866526
2022-04-01,3.440000,3.490000,3.420000,3.460000,3.226896,3487385
2022-04-04,3.490000,3.500000,3.440000,3.460000,3.226896,3354440
2022-04-05,3.490000,3.510000,3.460000,3.470000,3.236223,3278704
2022-04-06,3.520000,3.750000,3.520000,3.710000,3.460054,6563118
2022-04-07,3.770000,3.800000,3.710000,3.770000,3.516011,3415048
2022-04-08,3.820000,3.910000,3.810000,3.850000,3.590622,3672068
2022-04-11,4.000000,4.060000,3.820000,3.830000,3.571969,6426145
2022-04-12,3.830000,3.830000,3.690000,3.710000,3.460054,5191815
2022-04-13,3.800000,3.830000,3.700000,3.730000,3.478706,7300783
2022-04-14,3.470000,3.560000,3.390000,3.560000,3.440054,12740985
2022-04-19,3.590000,3.620000,3.460000,3.490000,3.372412,3635089
2022-04-20,3.520000,3.560000,3.415000,3.450000,3.333760,3138443
2022-04-21,3.470000,3.490000,3.320000,3.350000,3.237129,6520494
2022-04-22,3.280000,3.350000,3.250000,3.320000,3.208140,4319702
2022-04-26,3.280000,3.320000,3.210000,3.240000,3.130836,7943745
2022-04-27,3.250000,3.350000,3.220000,3.300000,3.188814,7306438
2022-04-28,3.380000,3.480000,3.360000,3.450000,3.333760,6095414
2022-04-29,3.490000,3.530000,3.450000,3.510000,3.391739,5843277
2022-05-02,3.530000,3.550000,3.460000,3.490000,3.372412,2436663
2022-05-03,3.490000,3.560000,3.490000,3.540000,3.420728,1926075
2022-05-04,3.600000,3.640000,3.500000,3.530000,3.411065,5164270
2022-05-05,3.640000,3.770000,3.600000,3.720000,3.594663,6829606
2022-05-06,3.690000,3.710000,3.590000,3.630000,3.507695,3853678
2022-05-09,3.640000,3.690000,3.570000,3.630000,3.507695,3133007
2022-05-10,3.550000,3.610000,3.430000,3.560000,3.440054,4311436
2022-05-11,3.550000,3.650000,3.500000,3.630000,3.507695,3354461
2022-05-12,3.670000,3.710000,3.480000,3.510000,3.391739,4319252
2022-05-13,3.550000,3.650000,3.530000,3.620000,3.498032,2708505
2022-05-16,3.650000,3.740000,3.650000,3.730000,3.604326,3035419
2022-05-17,3.770000,3.880000,3.760000,3.880000,3.749272,7867774
2022-05-18,3.950000,4.030000,3.870000,3.910000,3.778262,5395421
2022-05-19,3.780000,3.880000,3.720000,3.820000,3.691294,3057678
2022-05-20,3.870000,4.000000,3.840000,3.970000,3.836240,3251843
2022-05-23,3.920000,4.010000,3.920000,3.960000,3.826577,3050490
2022-05-24,4.030000,4.105000,3.970000,4.050000,3.913545,4139084
2022-05-25,4.070000,4.100000,4.030000,4.100000,3.961860,3708734
2022-05-26,3.950000,3.980000,3.560000,3.780000,3.652642,11567738
2022-05-27,3.830000,3.920000,3.800000,3.800000,3.671968,4168725
2022-05-30,3.820000,3.830000,3.580000,3.600000,3.478706,3944626
2022-05-31,3.670000,3.780000,3.660000,3.710000,3.585000,6441406
2022-06-01,3.760000,3.760000,3.670000,3.750000,3.623652,1915932
2022-06-02,3.780000,3.850000,3.760000,3.810000,3.681631,3565133
2022-06-03,3.840000,3.935000,3.840000,3.900000,3.768599,3174659
2022-06-06,3.910000,4.100000,3.910000,3.970000,3.836240,4023398
2022-06-07,4.020000,4.040000,3.950000,3.990000,3.855566,2943665
2022-06-08,4.050000,4.090000,3.940000,3.950000,3.816914,3324485
2022-06-09,3.950000,3.980000,3.840000,3.860000,3.729946,2078523
2022-06-10,3.800000,3.850000,3.760000,3.840000,3.710620,5216249
2022-06-14,3.650000,3.690000,3.510000,3.640000,3.517359,5892802
2022-06-15,3.700000,3.760000,3.610000,3.660000,3.536685,3167527
2022-06-16,3.720000,3.840000,3.680000,3.790000,3.662305,4546678
2022-06-17,3.650000,3.770000,3.620000,3.670000,3.546348,16694614
2022-06-20,3.600000,3.620000,3.140000,3.210000,3.101846,13049030
2022-06-21,3.300000,3.480000,3.190000,3.280000,3.169488,11280919
2022-06-22,3.330000,3.450000,3.270000,3.400000,3.285445,6988465
2022-06-23,3.360000,3.390000,3.310000,3.310000,3.198477,2941206
