Exchange Date,Close,Adjusted Close,Net,%Chg,Open,Low,High,Volume,Turnover - AUD,Flow,Column1,_1,_2,_3,_4
1/27/23,0.825,,0.02,0.02484,0.815,0.815,0.84,7985433,6588898,367723321,,,,,
1/25/23,0.805,,-0.01,-0.01227,0.82,0.8,0.833,5305939,4320438,361134423,,,,,
1/24/23,0.815,,-0.01,-0.01212,0.835,0.81,0.84,4591996,3779760,365454861,,,,,
1/23/23,0.825,,0.02,0.02484,0.81,0.81,0.833,4812941,3957563,369234621,,,,,
1/20/23,0.805,,-0.005,-0.00617,0.815,0.785,0.815,5244335,4196576,365277058,,,,,
1/19/23,0.81,,-0.025,-0.02994,0.83,0.81,0.83,3743337,3057820,369473634,,,,,
1/18/23,0.835,,0.025,0.03086,0.815,0.815,0.843,4711363,3909159,372531454,,,,,
1/17/23,0.81,,0,0,0.81,0.81,0.828,3989451,3253353,368622295,,,,,
1/16/23,0.81,,-0.015,-0.01818,0.825,0.81,0.84,4674656,3832832,371875648,,,,,
1/13/23,0.825,,-0.04,-0.04624,0.87,0.825,0.87,7152385,6050483,375708480,,,,,
1/12/23,0.865,,0.025,0.02976,0.855,0.845,0.878,10006601,8608925,381758963,,,,,
1/11/23,0.84,,0.005,0.00599,0.855,0.84,0.89,13611007,11626066,373150038,,,,,
1/10/23,0.835,,0.01,0.01212,0.84,0.82,0.895,13701963,11775555,361523972,,,,,
1/9/23,0.825,,-0.005,-0.00602,0.855,0.825,0.865,6156506,5175451,349748417,,,,,
1/6/23,0.83,,0.055,0.07097,0.765,0.76,0.83,6808302,5529612,354923868,,,,,
1/5/23,0.775,,0.025,0.03333,0.755,0.75,0.785,7922735,6104473,349394256,,,,,
1/4/23,0.75,,-0.005,-0.00662,0.755,0.74,0.775,7455885,5621639,343289783,,,,,
1/3/23,0.755,,-0.045,-0.05625,0.805,0.75,0.805,6303879,4840395,348911422,,,,,
12/30/22,0.8,,0.045,0.0596,0.765,0.755,0.805,7456641,5846622,353751817,,,,,
12/29/22,0.755,,0.02,0.02721,0.72,0.715,0.76,8000298,5941686,347905195,,,,,
12/28/22,0.735,,-0.035,-0.04545,0.76,0.725,0.765,8117609,6012920,341963509,,,,,
12/23/22,0.77,,-0.04,-0.04938,0.785,0.755,0.79,8423673,6453359,347976429,,,,,
12/22/22,0.81,,0.03,0.03846,0.795,0.79,0.82,12083691,9722688,354429788,,,,,
12/21/22,0.78,,-0.01,-0.01266,0.8,0.78,0.82,10258249,8165997,344707100,,,,,
12/20/22,0.79,,-0.055,-0.06509,0.83,0.78,0.83,10707622,8574181,352873097,,,,,
12/19/22,0.845,,0.005,0.00595,0.84,0.83,0.865,6820701,5787117,361447278,,,,,
12/16/22,0.84,,-0.025,-0.0289,0.845,0.82,0.865,15857053,13366962,355660161,,,,,
12/15/22,0.865,,-0.02,-0.0226,0.88,0.84,0.89,13555352,11748382,369027123,,,,,
12/14/22,0.885,,-0.02,-0.0221,0.915,0.885,0.92,8955252,8038732,380775505,,,,,
12/13/22,0.905,,-0.03,-0.03209,0.95,0.905,0.955,5514645,5079109,388814237,,,,,
12/12/22,0.935,,-0.005,-0.00532,0.935,0.9,0.94,8248902,7593138,393893346,,,,,
12/9/22,0.94,,0,0,0.95,0.92,0.96,6912448,6473776,401486484,,,,,
12/8/22,0.94,,-0.035,-0.0359,0.975,0.94,0.98,6033348,5760971,407960260,,,,,
12/7/22,0.975,,0.005,0.00515,0.965,0.95,0.975,4549638,4399456,413721231,,,,,
12/6/22,0.97,,-0.03,-0.03,0.985,0.97,0.995,6966959,6806161,409321775,,,,,
12/5/22,1,,-0.03,-0.02913,1.04,1,1.045,4338043,4393384,416127936,,,,,
12/2/22,1.03,,0.025,0.02488,1.005,0.995,1.03,4534545,4610915,420521320,,,,,
12/1/22,1.005,,0.005,0.005,1.03,0.985,1.04,7988547,8085320,415910405,,,,,
11/30/22,1,,0.05,0.05263,0.955,0.93,1,13067454,12778421,407825085,,,,,
11/29/22,0.95,,0.015,0.01604,0.94,0.905,0.955,10578150,9853370,395046664,,,,,
11/28/22,0.935,,-0.05,-0.05076,0.985,0.93,0.99,12888544,12303634,385193294,,,,,
11/25/22,0.985,,-0.06,-0.05742,1.05,0.985,1.055,10261083,10330019,397496928,,,,,
11/24/22,1.045,,0,0,1.05,1.04,1.06,4231079,4438487,407826947,,,,,
11/23/22,1.045,,0.01,0.00966,1.045,1.04,1.055,5580266,5841165,403388460,,,,,
11/22/22,1.035,,-0.005,-0.00481,1.05,1.035,1.06,8136440,8502825,397547295,,,,,
11/21/22,1.04,,-0.01,-0.00952,1.085,1.04,1.11,10270298,10987629,406050120,,,,,
11/18/22,1.05,,-0.005,-0.00474,1.055,1.04,1.063,5110904,5369676,417037749,,,,,
11/17/22,1.055,,-0.015,-0.01402,1.07,1.055,1.08,7561122,8029500,422407425,,,,,
11/16/22,1.07,,-0.015,-0.01382,1.09,1.06,1.105,14540674,15713534,430436925,,,,,
11/15/22,1.085,,-0.09,-0.0766,1.16,1.08,1.16,21295174,23500363,446150459,,,,,
11/14/22,1.175,,0.055,0.04911,1.13,1.125,1.195,22900329,26695179,469650822,,,,,
11/11/22,1.12,,0.05,0.04673,1.12,1.105,1.14,16110685,18073511,442955643,,,,,
11/10/22,1.07,,-0.04,-0.03604,1.08,1.065,1.09,10423312,11197916,424882132,,,,,
11/9/22,1.11,,-0.01,-0.00893,1.135,1.105,1.145,12198528,13701236,436080048,,,,,
11/8/22,1.12,,-0.025,-0.02183,1.15,1.11,1.165,20695977,23605950,449781284,,,,,
11/7/22,1.145,,0.07,0.06512,1.1,1.065,1.175,26569616,29822123,473387234,,,,,
11/4/22,1.075,,0.025,0.02381,1.06,1.053,1.095,15286143,16398968,443565111,,,,,
11/3/22,1.05,,-0.065,-0.0583,1.08,1.045,1.095,17721934,18888918,427166143,,,,,
11/2/22,1.115,,0.055,0.05189,1.115,1.1,1.205,36795737,42206767,446055061,,,,,
11/1/22,1.06,,0,0,1.05,1.04,1.095,12268770,13120445,403848294,,,,,
10/31/22,1.06,,0.075,0.07614,1.01,1,1.06,15672619,16082574,390727849,,,,,
10/28/22,0.985,,-0.07,-0.06635,1.05,0.985,1.055,10117653,10241523,374645275,,,,,
10/27/22,1.055,,0.01,0.00957,1.045,1.035,1.065,8108759,8538506,384886798,,,,,
10/26/22,1.045,,-0.005,-0.00476,1.075,1.035,1.095,11189497,11938785,376348292,,,,,
10/25/22,1.05,,-0.03,-0.02778,1.08,1.05,1.09,11927680,12719481,388287077,,,,,
10/24/22,1.08,,0.03,0.02857,1.095,1.065,1.105,14112221,15327779,401006558,,,,,
10/21/22,1.05,,0.01,0.00962,1.045,1.035,1.065,6485654,6819627,385678779,,,,,
10/20/22,1.04,,-0.035,-0.03256,1.07,1.04,1.09,10723507,11357190,378859152,,,,,
10/19/22,1.075,,-0.015,-0.01376,1.085,1.065,1.11,14469332,15660772,390216342,,,,,
10/18/22,1.09,,0.085,0.08458,1.025,1.025,1.1,22616995,24026383,405877114,,,,,
10/17/22,1.005,,0.03,0.03077,0.97,0.96,1.005,9640990,9534021,381850731,,,,,
